Topic,Heading,Learning Outcomes
,"Capital Market Expectations, Part 1: Framework and Macro Considerations",The candidate should be able to discuss the role of and a framework for capital market expectations in the.
,"Capital Market Expectations, Part 1: Framework and Macro Considerations", discuss challenges in developing capital market forecasts.
,"Capital Market Expectations, Part 1: Framework and Macro Considerations", explain how exogenous shocks may affect economic growth trends.
,"Capital Market Expectations, Part 1: Framework and Macro Considerations", discuss the application of economic growth trend analysis to the formulation of capital market expectations.
,"Capital Market Expectations, Part 1: Framework and Macro Considerations", compare major approaches to economic forecasting.
,"Capital Market Expectations, Part 1: Framework and Macro Considerations", discuss how business cycles affect short- and long-term expectations.
,"Capital Market Expectations, Part 1: Framework and Macro Considerations", explain the relationship of inflation to the business cycle and the implications of inflation for cash bonds equity and real estate returns.
,"Capital Market Expectations, Part 1: Framework and Macro Considerations", discuss the effects of monetary and fiscal policy on business cycles.
,"Capital Market Expectations, Part 1: Framework and Macro Considerations", interpret the shape of the yield curve as an economic predictor and discuss the relationship between the yield curve and fiscal and monetary policy.
,"Capital Market Expectations, Part 2: Forecasting Asset Class Returns", identify and interpret macroeconomic interest rate and exchange rate linkages between economies.
,"Capital Market Expectations, Part 2: Forecasting Asset Class Returns",The candidate should be able to discuss approaches to setting expectations for fixed-income returns.
,"Capital Market Expectations, Part 2: Forecasting Asset Class Returns", discuss risks faced by investors in emerging market fixed-income securities.
,"Capital Market Expectations, Part 2: Forecasting Asset Class Returns", discuss approaches to setting expectations for equity investment market returns.
,"Capital Market Expectations, Part 2: Forecasting Asset Class Returns", discuss risks faced by investors in emerging market equity securities.
,"Capital Market Expectations, Part 2: Forecasting Asset Class Returns", explain how economic and competitive factors can affect expectations for real.
,"Capital Market Expectations, Part 2: Forecasting Asset Class Returns", discuss major approaches to forecasting exchange rates.
,"Capital Market Expectations, Part 2: Forecasting Asset Class Returns", discuss methods of forecasting volatility.
,Currency Management: An Introduction, recommend and justify changes in the component weights of a global investment portfolio based on trends and expected changes in macroeconomic factors.
,Currency Management: An Introduction,The candidate should be able to analyze the effects of currency movements on portfolio risk and return.
,Currency Management: An Introduction, discuss strategic choices in currency management.
,Currency Management: An Introduction, formulate an appropriate currency management program given financial market.
,Currency Management: An Introduction, compare active currency trading strategies based on economic fundamentals technical analysis carry-trade and volatility trading.
,Currency Management: An Introduction, describe how changes in factors underlying active trading strategies affect tactical trading decisions.
,Currency Management: An Introduction, describe how forward contracts and fx foreign exchange swaps are used to adjust hedge ratios.
,Currency Management: An Introduction, describe trading strategies used to reduce hedging costs and modify the riskreturn characteristics of a foreign-currency portfolio.
,Currency Management: An Introduction, describe the use of cross-hedges macro-hedges and minimum-variance-hedge ratios in portfolios exposed to multiple foreign currencies.
,Currency Management: An Introduction, discuss challenges for managing emerging market currency exposures.
,Currency Management: An Introduction, describe the three basic forms of performance-based fees.
,Overview of Asset Allocation, analyze and interpret a sample performance-based fee schedule.
,Overview of Asset Allocation,The candidate should be able to describe elements of effective investment governance and investment.
,Overview of Asset Allocation, formulate an economic balance sheet for a client and interpret its implications for asset allocation.
,Overview of Asset Allocation, compare the investment objectives of asset-only liability-relative and goals-based asset allocation approaches.
,Overview of Asset Allocation, contrast concepts of risk relevant to asset-only liability-relative and goals-based asset allocation approaches.
,Overview of Asset Allocation, explain how asset classes are used to represent exposures to systematic risk and discuss criteria for asset class specification.
,Overview of Asset Allocation, explain the use of risk factors in asset allocation and their relation to traditional asset classbased approaches.
,Overview of Asset Allocation, recommend and justify an asset allocation based on an investors objectives and constraints.
,Overview of Asset Allocation, describe the use of the global market portfolio as a baseline portfolio in asset allocation.
,Overview of Asset Allocation, discuss strategic implementation choices in asset allocation including passiveactive choices and vehicles for implementing passive and active mandates.
,Principles of Asset Allocation, discuss strategic considerations in rebalancing asset allocations.
,Principles of Asset Allocation,The candidate should be able to describe and evaluate the use of meanvariance optimization in asset allocation.
,Principles of Asset Allocation, recommend and justify an asset allocation using meanvariance optimization.
,Principles of Asset Allocation, interpret and evaluate an asset allocation in relation to an investors economic.
,Principles of Asset Allocation, recommend and justify an asset allocation based on the global market portfolio.
,Principles of Asset Allocation, discuss the use of monte carlo simulation and scenario analysis to evaluate the robustness of an asset allocation.
,Principles of Asset Allocation, discuss asset class liquidity considerations in asset allocation.
,Principles of Asset Allocation, explain absolute and relative risk budgets and their use in determining and implementing an asset allocation.
,Principles of Asset Allocation, describe how client needs and preferences regarding investment risks can be incorporated into asset allocation.
,Principles of Asset Allocation, describe the use of investment factors in constructing and analyzing an asset allocation.
,Principles of Asset Allocation, describe and evaluate characteristics of liabilities that are relevant to asset allocation.
,Principles of Asset Allocation, discuss approaches to liability-relative asset allocation.
,Principles of Asset Allocation, recommend and justify a liability-relative asset allocation.
,Principles of Asset Allocation, recommend and justify an asset allocation using a goals-based approach.
,Principles of Asset Allocation, describe and evaluate heuristic and other approaches to asset allocation.
,Asset Allocation with Real-World Constraints, discuss factors affecting rebalancing policy.
,Asset Allocation with Real-World Constraints,The candidate should be able to discuss asset size liquidity needs time horizon and regulatory or other.
,Asset Allocation with Real-World Constraints, discuss tax considerations in asset allocation and rebalancing.
,Asset Allocation with Real-World Constraints, recommend and justify revisions to an asset allocation given changes in investment objectives andor constraints.
,Asset Allocation with Real-World Constraints, discuss the use of short-term shifts in asset allocation.
,Overview of Private Wealth Management, identify behavioral biases that arise in asset allocation and recommend methods to overcome them.
,Overview of Private Wealth Management,The candidate should be able to contrast private client and institutional client investment concerns.
,Overview of Private Wealth Management, discuss information needed in advising private clients.
,Overview of Private Wealth Management, identify tax considerations affecting a private clients investments.
,Overview of Private Wealth Management, identify and formulate client goals based on client information.
,Overview of Private Wealth Management, evaluate a private clients risk tolerance.
,Overview of Private Wealth Management, describe technical and soft skills needed in advising private clients.
,Overview of Private Wealth Management, evaluate capital sufficiency in relation to client goals.
,Overview of Private Wealth Management, discuss the principles of retirement planning.
,Overview of Private Wealth Management, discuss the parts of an investment policy statement ips for a private client.
,Overview of Private Wealth Management, prepare the investment objectives section of an ips for a private client.
,Overview of Private Wealth Management, evaluate and recommend improvements to an ips for a private client.
,Overview of Private Wealth Management, recommend and justify portfolio allocations and investments for a private client.
,Overview of Private Wealth Management, describe effective practices in portfolio reporting and review.
,Overview of Private Wealth Management, evaluate the success of an investment program for a private client.
,Overview of Private Wealth Management, discuss ethical and compliance considerations in advising private clients.
,Topics in Private Wealth Management, discuss how levels of service and range of solutions are related to different.
,Topics in Private Wealth Management,The candidate should be able to compare taxation of income wealth and wealth transfers.
,Topics in Private Wealth Management, describe global considerations of jurisdiction that are relevant to taxation.
,Topics in Private Wealth Management, discuss and analyze the tax efficiency of investments.
,Topics in Private Wealth Management, analyze the impact of taxes on capital accumulation and decumulation in.
,Topics in Private Wealth Management, explain portfolio tax management strategies and their application.
,Topics in Private Wealth Management, discuss risk and tax objectives in managing concentrated single-asset positions.
,Topics in Private Wealth Management, describe strategies for managing concentrated positions in public equities.
,Topics in Private Wealth Management, describe strategies for managing concentrated positions in privately owned businesses and real estate.
,Topics in Private Wealth Management, discuss objectivestax and non-taxin planning the transfer of wealth.
,Topics in Private Wealth Management, discuss strategies for achieving estate bequest and lifetime gift objectives in common law and civil law regimes.
,Risk Management for Individuals, describe considerations related to managing wealth across multiple generations.
,Risk Management for Individuals,The candidate should be able to compare the characteristics of human capital and financial capital as.
,Risk Management for Individuals, discuss the relationships among human capital financial capital and economic net worth.
,Risk Management for Individuals, describe an economic holistic balance sheet.
,Risk Management for Individuals, discuss risks earnings premature death longevity property liability and health risks in relation to human and financial capital.
,Risk Management for Individuals, describe types of insurance relevant to personal financial planning.
,Risk Management for Individuals, describe the basic elements of a life insurance policy and how insurers price a life insurance policy.
,Risk Management for Individuals, discuss the use of annuities in personal financial planning.
,Risk Management for Individuals, discuss the relative advantages and disadvantages of fixed and variable annuities.
,Risk Management for Individuals, discuss how asset allocation policy may be influenced by the risk characteristics of human capital.
,Portfolio Management for Institutional Investors, recommend and justify appropriate strategies for asset allocation and risk reduction when given an investor profile of key inputs.
,Portfolio Management for Institutional Investors,The candidate should be able to discuss common characteristics of institutional investors as a group.
,Portfolio Management for Institutional Investors, discuss investment policy of institutional investors.
,Portfolio Management for Institutional Investors, discuss the stakeholders in the portfolio the liabilities the investment time.
,Portfolio Management for Institutional Investors, describe the focus of legal regulatory and tax constraints affecting different types of institutional investors.
,Portfolio Management for Institutional Investors, evaluate risk considerations of private defined benefit db pension plans in relation to 1 plan funded status 2 sponsor financial strength 3 interactions between the sponsors business and the funds investments 4 plan design and 5 workforce characteristics.
,Portfolio Management for Institutional Investors, evaluate the investment policy statement of an institutional investor.
,Portfolio Management for Institutional Investors, evaluate the investment portfolio of a private db plan sovereign wealth fund.
,Trade Strategy and Execution, describe considerations affecting the balance sheet management of banks and insurers.
,Trade Strategy and Execution,The candidate should be able to discuss motivations to trade and how they relate to trading strategy.
,Trade Strategy and Execution, discuss inputs to the selection of a trading strategy.
,Trade Strategy and Execution, compare benchmarks for trade execution.
,Trade Strategy and Execution, recommend and justify a trading strategy given relevant facts.
,Trade Strategy and Execution, describe factors that typically determine the selection of a trading algorithm.
,Trade Strategy and Execution, contrast key characteristics of the following markets in relation to trade implementation equity fixed income options and futures otc derivatives and spot currency.
,Trade Strategy and Execution, explain how trade costs are measured and determine the cost of a trade.
,Trade Strategy and Execution, evaluate the execution of a trade.
,Portfolio Performance Evaluation, evaluate a firms trading procedures including processes disclosures and record keeping with respect to good governance.
,Portfolio Performance Evaluation,The candidate should be able to explain the following components of portfolio evaluation and their.
,Portfolio Performance Evaluation, describe attributes of an effective attribution process.
,Portfolio Performance Evaluation, contrast return attribution and risk attribution contrast macro and micro return attribution.
,Portfolio Performance Evaluation, describe returns-based holdings-based and transactions-based performance attribution including advantages and disadvantages of each.
,Portfolio Performance Evaluation, interpret the sources of portfolio returns using a specified attribution approach.
,Portfolio Performance Evaluation, interpret the output from fixed-income attribution analyses.
,Portfolio Performance Evaluation, discuss considerations in selecting a risk attribution approach.
,Portfolio Performance Evaluation, identify and interpret investment results attributable to the asset owner versus those attributable to the investment manager.
,Portfolio Performance Evaluation, discuss uses of liability-based benchmarks.
,Portfolio Performance Evaluation, describe types of asset-based benchmarks.
,Portfolio Performance Evaluation, discuss tests of benchmark quality.
,Portfolio Performance Evaluation, describe the impact of benchmark misspecification on attribution and appraisal analysis.
,Portfolio Performance Evaluation, describe problems that arise in benchmarking alternative investments.
,Portfolio Performance Evaluation, calculate and interpret the sortino ratio the appraisal ratio upsidedownside capture ratios maximum drawdown and drawdown duration.
,Portfolio Performance Evaluation, describe limitations of appraisal measures and related metrics.
,Investment Manager Selection, evaluate the skill of an investment manager.
,Investment Manager Selection,The candidate should be able to describe the components of a manager selection process including due diligence.
,Investment Manager Selection, contrast type i and type ii errors in manager hiring and continuation decisions.
,Investment Manager Selection, describe uses of returns-based and holdings-based style analysis in investment.
,Investment Manager Selection, describe uses of the upside capture ratio downside capture ratio maximum drawdown drawdown duration and updown capture in evaluating managers.
